,title,url
0,"In a Rotten World, I Really Don’t Want it to be Rotten",https://www.novelupdates.com/series/in-a-rotten-world-i-really-dont-want-it-to-be-rotten/
1,"In a World Filled with Deserts, an Old Man with Electronic Money",https://www.novelupdates.com/series/in-a-world-filled-with-deserts-an-old-man-with-electronic-money/
2,"In a World Where Beauty is Reversed, a Harem Only for Me",https://www.novelupdates.com/series/in-a-world-where-beauty-is-reversed-a-harem-only-for-me/
3,"In a World Where Women Are Strong, It Is Strange That I, a Man, Is the Strongest in the World",https://www.novelupdates.com/series/in-a-world-where-women-are-strong-it-is-strange-that-i-a-man-is-the-strongest-in-the-world/
4,In a World Without Life,https://www.novelupdates.com/series/in-a-world-without-life/
5,"In an Otome Game World, I’m a Villain!? I Can’t Accept This!",https://www.novelupdates.com/series/in-an-otome-game-world-im-a-villain-i-cant-accept-this/
6,In Another Life,https://www.novelupdates.com/series/in-another-life/
7,In Different World with Naruto System,https://www.novelupdates.com/series/in-different-world-with-naruto-system/
8,In Dreams,https://www.novelupdates.com/series/in-dreams/
9,In for the Perfect Revenge,https://www.novelupdates.com/series/in-for-the-perfect-revenge/
10,In Love and On Fire,https://www.novelupdates.com/series/in-love-and-on-fire/
11,In Love with an Idiot,https://www.novelupdates.com/series/in-love-with-an-idiot/
12,"In My Efforts To Runaway From Home, I Accidentally Bought the Great Sorcerer!",https://www.novelupdates.com/series/in-my-efforts-to-runaway-from-home-i-accidentally-bought-the-great-sorcerer/
13,"In My Previous Life I Was a Saint, but Now I Want to Cut Corners",https://www.novelupdates.com/series/in-my-previous-life-i-was-a-saint-but-now-i-want-to-cut-corners/
14,"In My Second Life, He was a Boy, But Now He’s a Knight and Dotes on Me",https://www.novelupdates.com/series/in-my-second-life-he-was-a-boy-but-now-hes-a-knight-and-dotes-on-me/
15,"In My Second Life, I Could See My Skills, so the More I Trained, the More Peerless I Became",https://www.novelupdates.com/series/in-my-second-life-i-could-see-my-skills-so-the-more-i-trained-the-more-peerless-i-became/
16,"In My Six and a Half Tatami Mat House, Lives a Silver-haired, Blue-eyed Junior",https://www.novelupdates.com/series/in-my-six-and-a-half-tatami-mat-house-lives-a-silver-haired-blue-eyed-junior/
17,In Name Only,https://www.novelupdates.com/series/in-name-only/
18,"In Order to Enter the Air Force, I Announced the Pulse Detonation Engine",https://www.novelupdates.com/series/in-order-to-enter-the-air-force-i-announced-the-pulse-detonation-engine/
19,"In Order to Support Me, Big Shots Kneels Down Before Me!",https://www.novelupdates.com/series/in-order-to-support-me-big-shots-kneels-down-before-me/
20,"In Order To Survive, I Had To Fall in Love With the Heroine",https://www.novelupdates.com/series/in-order-to-survive-i-had-to-fall-in-love-with-the-heroine/
21,In Regards to My 2nd Trip and My 7 Husbands,https://www.novelupdates.com/series/in-regards-to-my-2nd-trip-and-my-7-husbands/
22,In Search of a Scenery I’ve yet to See.,https://www.novelupdates.com/series/in-search-of-a-scenery-ive-yet-to-see/
23,In Search of Love,https://www.novelupdates.com/series/in-search-of-love/
24,"In the After School Library, A Refined Lady’s Romantic Comedy Can’t Be Compromised",https://www.novelupdates.com/series/in-the-after-school-library-a-refined-ladys-romantic-comedy-cant-be-compromised/
25,"In the Apocalypse, Jiao Jiao Struggled Every Day",https://www.novelupdates.com/series/in-the-apocalypse-jiao-jiao-struggled-every-day/
26,In the Dark,https://www.novelupdates.com/series/in-the-dark/
27,"In the Future, My Whole Body is a Treasure",https://www.novelupdates.com/series/in-the-future-my-whole-body-is-a-treasure/
28,In the Land of Leadale,https://www.novelupdates.com/series/in-the-land-of-leadale/
29,In the Middle of The Night in the Duke’s Residence,https://www.novelupdates.com/series/in-the-middle-of-the-night-in-the-dukes-residence/
30,In The Midst Of An Intended Marriage With My Time-Limited Lover,https://www.novelupdates.com/series/in-the-midst-of-an-intended-marriage-with-my-time-limited-lover/
31,In The Name Of Fang,https://www.novelupdates.com/series/in-the-name-of-fang/
32,In the Name of Your Death,https://www.novelupdates.com/series/in-the-name-of-your-death/
33,In the Snow,https://www.novelupdates.com/series/in-the-snow/
34,In the World of Crawling Dead The Record of War of a Certain High School,https://www.novelupdates.com/series/in-the-world-of-crawling-dead-the-record-of-war-of-a-certain-high-school/
35,In the Years When I Was a Father,https://www.novelupdates.com/series/in-the-years-when-i-was-a-father/
36,In This Life I Will Be Happy,https://www.novelupdates.com/series/in-this-life-i-will-be-happy/
37,"In This Life, I Will Be The Lord",https://www.novelupdates.com/series/in-this-life-i-will-be-the-lord/
38,"In This Life, I Will Raise You Well, Your Majesty!",https://www.novelupdates.com/series/in-this-life-i-will-raise-you-well-your-majesty/
39,"In This Life, The Greatest Star In The Universe",https://www.novelupdates.com/series/in-this-life-the-greatest-star-in-the-universe/
40,"In This World of Beasts, I Am The Biggest BOSS!",https://www.novelupdates.com/series/in-this-world-of-beasts-i-am-the-biggest-boss/
41,"In This World, I Will Fall in Love With You a Second Time",https://www.novelupdates.com/series/in-this-world-i-will-fall-in-love-with-you-a-second-time/
42,Inadvertently Invincible,https://www.novelupdates.com/series/inadvertently-invincible/
43,Inch of Radiance,https://www.novelupdates.com/series/inch-of-radiance/
44,Incredible Loli Change,https://www.novelupdates.com/series/incredible-loli-change/
45,Incubus Banishment,https://www.novelupdates.com/series/incubus-banishment/
46,Incurable,https://www.novelupdates.com/series/incurable/
47,Incurable Pain,https://www.novelupdates.com/series/incurable-pain/
48,Indestructible God King,https://www.novelupdates.com/series/indestructible-god-king/
49,Indulge in Love,https://www.novelupdates.com/series/indulge-in-love/
50,Indulgent Husband and Sweet Wife,https://www.novelupdates.com/series/indulgent-husband-and-sweet-wife/
51,Indulging in Carnal Desire,https://www.novelupdates.com/series/indulging-in-carnal-desire/
52,Inexorably in Love,https://www.novelupdates.com/series/inexorably-in-love/
53,Inferior Magic Swordsman: Using the Skill Board to Become the Strongest,https://www.novelupdates.com/series/inferior-magic-swordsman-using-the-skill-board-to-become-the-strongest/
54,Infernal Hero,https://www.novelupdates.com/series/infernal-hero/
55,Inferno,https://www.novelupdates.com/series/inferno/
56,Infinite Apostle and the Twelve War Maidens,https://www.novelupdates.com/series/infinite-apostle-and-the-twelve-war-maidens/
57,Infinite Bloodcore,https://www.novelupdates.com/series/infinite-bloodcore/
58,Infinite Clone System,https://www.novelupdates.com/series/infinite-clone-system/
59,Infinite Competitive Dungeon Society,https://www.novelupdates.com/series/infinite-competitive-dungeon-society/
60,Infinite Devil Fruit,https://www.novelupdates.com/series/infinite-devil-fruit/
61,Infinite Escape Room: No Parkour,https://www.novelupdates.com/series/infinite-escape-room-no-parkour/
62,Infinite Evolution,https://www.novelupdates.com/series/infinite-evolution/
63,Infinite Gacha,https://www.novelupdates.com/series/infinite-gacha/
64,Infinite Love from Flash Marriage Husband,https://www.novelupdates.com/series/infinite-love-from-flash-marriage-husband/
65,Infinite Lucky Emperor,https://www.novelupdates.com/series/infinite-lucky-emperor/
66,Infinite Mage,https://www.novelupdates.com/series/infinite-mage/
67,Infinite Stratos,https://www.novelupdates.com/series/infinite-stratos/
68,Infinite Survival: I Can Plunder Passive Skills,https://www.novelupdates.com/series/infinite-survival-i-can-plunder-passive-skills/
69,"Infinitely, I Have a Lady in Red",https://www.novelupdates.com/series/infinitely-i-have-a-lady-in-red/
70,Infinity Armament,https://www.novelupdates.com/series/infinity-armament/
71,Infinity Moe,https://www.novelupdates.com/series/infinity-moe/
72,Infrastructure Frenzy,https://www.novelupdates.com/series/infrastructure-frenzy/
73,Infront of the Villains Actor Fall Ending,https://www.novelupdates.com/series/infront-of-the-villains-actor-fall-ending/
74,Ingram’s Lantern,https://www.novelupdates.com/series/ingrams-lantern/
75,Inherited Estate,https://www.novelupdates.com/series/inherited-estate/
76,Inheriting Billions After Being Retrenched,https://www.novelupdates.com/series/inheriting-billions-after-being-retrenched/
77,"Inkya no Boku ni Batsu Game ni Kokuhaku Shitekita Hazu no Gyaru ga, Doumitemo Boku ni Betahore Desu",https://www.novelupdates.com/series/inkya-no-boku-ni-batsu-game-ni-kokuhaku-shitekita-hazu-no-gyaru-ga-doumitemo-boku-ni-betahore-desu/
78,Inkyara na Ore to Ichatsukitai tte Maji kayo…,https://www.novelupdates.com/series/inkyara-na-ore-to-ichatsukitai-tte-maji-kayo/
79,Inma no Hado,https://www.novelupdates.com/series/inma-no-hado/
80,Inner Demons,https://www.novelupdates.com/series/inner-demons/
81,Inner Palace’s Fragrance Princess,https://www.novelupdates.com/series/inner-palaces-fragrance-princess/
82,Innocence,https://www.novelupdates.com/series/innocence/
83,Inou-Battle wa Nichijou-kei no Naka de,https://www.novelupdates.com/series/inou-battle-wa-nichijou-kei-no-naka-de/
84,Insanely Pampered Wife: Divine Doctor Fifth Young Miss,https://www.novelupdates.com/series/insanely-pampered-wife-divine-doctor-fifth-young-miss/
85,Inside a Certain Facility,https://www.novelupdates.com/series/inside-a-certain-facility/
86,Inside An Ad**t Game As A Former Hero,https://www.novelupdates.com/series/inside-an-adult-game-as-a-former-hero/
87,Inside the Cave of Obscenity,https://www.novelupdates.com/series/inside-the-cave-of-obscenity/
88,Insider,https://www.novelupdates.com/series/insider/
89,Insolent Knight and Prince of Mask,https://www.novelupdates.com/series/insolent-knight-and-prince-of-mask/
90,Insomnia,https://www.novelupdates.com/series/insomnia/
91,Inspector Ji’s Ridiculous Conjectures 1,https://www.novelupdates.com/series/inspector-jis-ridiculous-conjectures-1/
92,Instant Death,https://www.novelupdates.com/series/instant-death/
93,Instant Kill,https://www.novelupdates.com/series/instant-kill/
94,Instant Messiah,https://www.novelupdates.com/series/instant-messiah/
95,"Instead of Being Transported to Another World Directly, I Was Given the Abilities of the Strongest Character in the Anime World",https://www.novelupdates.com/series/instead-of-being-transported-to-another-world-directly-i-was-given-the-abilities-of-the-strongest-character-in-the-anime-world/
96,Intense Love,https://www.novelupdates.com/series/intense-love/
97,Intense Radical Behaviors,https://www.novelupdates.com/series/intense-radical-behaviors/
98,Intercepting the Boyfriend When he Was Young,https://www.novelupdates.com/series/intercepting-the-boyfriend-when-he-was-young/
99,"Interested in the One-Eyed Female General So I Joined the White Wolf Knight Order, but It Turned into a Harem?!",https://www.novelupdates.com/series/interested-in-the-one-eyed-female-general-so-i-joined-the-white-wolf-knight-order-but-it-turned-into-a-harem/
100,Intergalactic Era of Gossip,https://www.novelupdates.com/series/intergalactic-era-of-gossip/
